Image,QC,QG,QM,QCB,QCV,QMI,QNCIE,QP,QS,QSF,QTE,QY
10007.png,0.38114563876392143,0.21886386,0.013698214,0.9999227526882146,257.90476231888965,0.5003341318831374,0.8037032640980926,0.36756953752303523,0.36133455450655455,0.0064652546834369305,-6.072608201640487,0.6821593901620574
10008.png,0.3702656405484431,0.22369279,0.013991173,0.9999319917074441,308.7017050846362,0.5150507077508584,0.803866814643302,0.34475108038207763,0.3466023100583727,0.01374813456690128,-5.061593577207518,0.6998472801965618
10009.png,0.3804043266003202,0.22308388,0.016809927,0.9999116269430811,314.0216792648591,0.4896253498167459,0.8038507914381217,0.3500396371463199,0.36487357316412977,0.026755864392983737,-5.02336932428862,0.6769297178928992
10010.png,0.38429372868057315,0.22196735,0.016107438,0.9999175759456023,315.5134059476627,0.5102817479731963,0.804055911571844,0.3190956280755402,0.37015067510095195,0.03223744749933743,-5.070623388636149,0.6960318962387213
10011.png,0.39903878992405634,0.214476,0.01584938,0.9999060087963643,293.31585395429056,0.4890204374505621,0.8041097671691477,0.26634706257675617,0.38250065623434965,0.01725908689696869,-5.226099711320622,0.6768544881128206
10012.png,0.3945368700286572,0.21683918,0.017923031,0.9998890829838318,328.21982554260984,0.5190649768799076,0.8045468525614302,0.2507775755458629,0.37535465539599017,0.0478438833446009,-5.674155486229337,0.6928878068858131
10013.png,0.4119852578274117,0.22105536,0.017879713,0.9999046144686445,272.97243389845966,0.51642495338808,0.8048990676503083,0.23550818420308958,0.39119779635350543,0.04436771245726444,-5.686324161721541,0.6714269152729898
10014.png,0.429426105062267,0.22528349,0.016917698,0.9998818257264347,284.280127134863,0.5318289092811692,0.8052715198014226,0.22206892855867805,0.4044782275274058,0.008241137641362976,-5.217387648456278,0.6735585913205513
10015.png,0.42059125207986603,0.21747291,0.020137124,0.9998695395374573,260.73602518743326,0.5285341638227616,0.805490017941088,0.20235609565182994,0.39477928216392855,0.03828825523458489,-5.188063487006832,0.6716735147108764
10016.png,0.4157419131399365,0.2161203,0.017142646,0.9998930538145301,305.7356513535999,0.5381704795418233,0.805628088125322,0.19419893535456736,0.39285926156603723,0.03302964550240186,-5.282117875646812,0.6900614245724834
10017.png,0.41918460142567615,0.21323317,0.018641476,0.9998855241124458,345.96333709264513,0.5109584515862315,0.8053772226255682,0.19303215639372895,0.400117771479833,0.03495968656476002,-5.176695851170283,0.6631506396897854
10018.png,0.41514657291842694,0.21930778,0.01697037,0.9998652362698628,360.5011058150807,0.5138508051135335,0.8053637039024983,0.2211317330962875,0.395183608203085,0.04300957299334666,-4.897850553238721,0.6804206695384805
10019.png,0.41729722151135706,0.21523514,0.017128358,0.9998890564276557,329.01642650970666,0.4876513866158389,0.8051544644239529,0.25287099210730807,0.39749600629235027,0.04422351569346138,-4.672654647079368,0.6484418381341573
10020.png,0.4203016832008411,0.22203133,0.017138235,0.9998802284159494,367.62871288201575,0.5072510713295977,0.8053322982021895,0.25758403997197465,0.40219681859217477,0.04940442014412005,-4.739778422932943,0.6758694842663331
10021.png,0.41666952280660075,0.2151714,0.018409496,0.9998813417937977,355.03714229546244,0.48547610676566155,0.8051557331315363,0.22855281973563157,0.39830608664260203,0.04518680152751837,-4.843007445000305,0.6554998131567901
10022.png,0.4071980767441034,0.21880516,0.015869455,0.9998568496401986,411.3741159322324,0.5230961777288881,0.805627652115857,0.21182584787511569,0.38449310200304226,0.05352394031535167,-4.926010509564923,0.6811693815221823
10023.png,0.40689742966319936,0.21363309,0.01877184,0.9998138687119352,383.38733735150345,0.514255579036841,0.8055967006459788,0.2273185015226968,0.3803013848264834,0.038011865477013386,-5.275723183893041,0.6618924205767848
10024.png,0.4072831160347939,0.21533689,0.015679797,0.9998509763459867,410.65932816066595,0.534136624656778,0.8057799993019105,0.20257838745407508,0.37877911822456617,0.03926183152278114,-5.038567686571698,0.6815799119697272
10025.png,0.4064107312970764,0.21554793,0.016067317,0.9998087705347674,367.2916119093604,0.5237423069655225,0.8056471167662413,0.20684715693399605,0.3832283272063982,0.0264814553949894,-4.9527830304955325,0.6739568252577868
10026.png,0.40740414282902876,0.2237949,0.017460044,0.9998829799809655,370.58802542356534,0.5396496504027657,0.8057129007227404,0.24655645096383053,0.37906491537038367,0.0252525473614222,-5.001098146195466,0.69211023371206
10027.png,0.4247338925332246,0.22542024,0.018567985,0.9998803335066391,344.4565017395764,0.5328712488726061,0.805647854260821,0.24961744091284843,0.3969294033366759,0.025520886682144407,-4.922864297903147,0.6796355840770378
10028.png,0.4069224094094586,0.2285371,0.018239519,0.9998775226992983,409.4027915974814,0.5551047521330771,0.8057074208339163,0.22851765339392413,0.3821319381329904,0.02579254780083725,-5.077526104848024,0.7044185078967382
10029.png,0.40426049133465264,0.22455785,0.015482084,0.999849227905078,375.75365389626876,0.5507974096555318,0.8056092845949288,0.23474105125378844,0.36933783592074215,0.023872130107794785,-4.965935186910507,0.695280941148479
10030.png,0.3925680548471716,0.22639781,0.017117523,0.9998559720922743,421.9579899636266,0.5626859606164947,0.805615461269136,0.21585220131311758,0.3593023750474103,0.028597564063333972,-5.050506134792856,0.7079347994562168

Average,0.4058211445504609,0.21982770537336668,0.016999993473291397,0.9998794150436856,341.43414792735393,0.5199943078861503,0.8051145794915565,0.24707246241441996,0.3829583201395818,0.03213896616119658,-5.126806002614624,0.6805330031570139
