Image,QC,QG,QM,QCB,QCV,QMI,QNCIE,QP,QS,QSF,QTE,QY
16003.png,0.2401549426399779,0.19373053,0.008187346,0.8549959284649501,1665.3127902584588,0.5735811123037026,0.8038207441497243,0.3607535889257562,0.2135100254543579,0.03257713892912342,-6.555285590000347,0.6938000696043812
16004.png,0.25506162412700945,0.20294075,0.006269488,0.849946823949249,1847.0474074775086,0.563846197761018,0.8039881868407038,0.33670477069256455,0.22970428710248028,0.025504246062329306,-5.580115604346876,0.684138540530709
16005.png,0.24691682725758574,0.21037853,0.005604705,0.8211369732817015,2014.082294382083,0.5820318226271832,0.8041636061652746,0.3273138072322631,0.2171238456773177,0.031074860645403775,-5.21624707606061,0.6850983887712672
16006.png,0.26677296670090195,0.21700867,0.006546996,0.8380624090757431,2070.240478393955,0.5719385084248152,0.8043415398209863,0.34905071711841323,0.2346405106611308,0.015364077572701588,-4.9820415114210945,0.6892946314708843
16007.png,0.27210199198524354,0.21677367,0.010308896,0.8251759700831964,1843.609059244757,0.5923920946821915,0.8045983440574409,0.3686233018306241,0.2432763767397232,0.02064131292203678,-4.939678962209244,0.7144513586670995
16008.png,0.2756440930858536,0.22227713,0.011335147,0.8199069457141644,1903.8684476072801,0.6045283002115671,0.8047368866294311,0.36639958146107343,0.24619349524360554,0.012744333343842562,-5.781769041144053,0.7202283593580895
16009.png,0.2693898777735613,0.21328896,0.010923861,0.8439614882561172,1807.388945744041,0.6194503031920934,0.8049959215969387,0.33450444127682016,0.2349900839618495,0.012036167760983344,-4.449312551905897,0.7298058383363392
16010.png,0.2870440104169641,0.20812558,0.006464339,0.8486454094236582,1722.6931358188135,0.6056924403571102,0.8051865718243492,0.3403238361127794,0.2565772397704886,0.012113263003421184,-4.205858739238954,0.714316397184402
16011.png,0.271982786535491,0.21076687,0.009162592,0.7963481010007951,1717.5645787180881,0.6293393707933068,0.8053957744602356,0.3513772182689818,0.23221467266262064,0.0023374199142835476,-4.211492681540629,0.7252828254435386
16012.png,0.2765407396945862,0.2186731,0.008542876,0.7920302509055139,1511.5391884071123,0.6567880043487724,0.8056108509605143,0.3506113998072545,0.23839462963714025,0.009780399855413206,-4.155536262029465,0.738046755333278
16013.png,0.26261420965911497,0.21414302,0.008049248,0.7353983636213384,1764.2870035702874,0.6741098419925047,0.8057346395518278,0.33047051117407006,0.2264175747411629,0.010785054865434011,-3.8194423014253234,0.7379345775475503
16014.png,0.2581665202632286,0.21415226,0.016260834,0.709560519981578,1754.0766486448301,0.6931022287108778,0.8057393456309185,0.3345949669301397,0.21888874800867003,0.003442160243597551,-3.8134563482861967,0.7493001078953524
16015.png,0.2453644864677387,0.21990724,0.011942211,0.6827341077854101,1775.015816546458,0.7423080874960006,0.8061334332142842,0.3509981304454321,0.2155629092838717,0.0017322902302773302,-3.935870297983926,0.7716267265395254
16016.png,0.23982790285266878,0.21489806,0.009580291,0.6515334001768088,1784.2462359318552,0.7575589747079428,0.8060544671471802,0.34903921007920613,0.2106109819560537,0.006272998712876861,-3.936826661893314,0.783997331806195
16017.png,0.23282150291362938,0.22503237,0.0067628603,0.6311149215253531,1839.7056836114693,0.7646255786928964,0.8056737331685273,0.3367645326789114,0.20109221265243601,0.014901991886351046,-4.320691851754623,0.7972903254761887
16018.png,0.21457923411289842,0.2303403,0.011016722,0.6049669702623027,1531.4349273925054,0.8028686002724621,0.805609654251038,0.40364756835560534,0.1832401138000627,0.003765835612822836,-4.6580703890820825,0.8098888580375673
16019.png,0.20373450895513592,0.2458699,0.005988483,0.5674665566091541,1450.6129452323669,0.8459343538797022,0.8054760793013165,0.4050720539410209,0.1859400551774661,0.0218131600501823,-4.730324465755144,0.8248127356294366
16020.png,0.18500370083008574,0.25252873,0.0060301744,0.5027358529559799,1487.446128167679,0.8824304782068206,0.8050874084514033,0.4130422944082596,0.16705635224166873,0.029842432477492083,-4.573901560061696,0.8479476870267543
20005.png,0.2136857401633306,0.2264416,0.009281646,0.774119256023163,2278.3925514162393,0.6125753182491671,0.8035386337800445,0.3467500582309318,0.1966531069210857,0.056360059259411906,-7.136763658314063,0.7126873254320772
20006.png,0.23348794199117046,0.2223855,0.0053288317,0.8731276494915814,2557.2712294186153,0.6135399841054625,0.8037275575226943,0.35840717031486785,0.2084210990783103,0.06376020319107538,-6.5227578114476605,0.7142293369669468
20007.png,0.2226017049072368,0.21590959,0.004551231,0.7940736912939954,2549.3066795122286,0.6160099497227829,0.8038967991423167,0.3571768192451233,0.19337937644207506,0.05530756915835497,-5.862467375054741,0.718436490644671
20008.png,0.2715092465684483,0.20995656,0.008162115,0.9099293975723218,2292.5885936407067,0.5817155548259187,0.8040000141664951,0.32518851812788774,0.2446260363980711,0.03068054175847383,-5.4222648875964,0.7078665213112103
20009.png,0.2462434750517414,0.21055274,0.005514228,0.8577439363170183,2184.234015337508,0.6055247629116898,0.804227973944016,0.29602268716925306,0.21827812974740288,0.038482635699396174,-5.517613740972026,0.7235395975804473
20010.png,0.2660103336775435,0.2178755,0.0057925177,0.8896271738467075,2130.279399757032,0.6005019577366906,0.8044625368963683,0.290255743027007,0.2421939101470791,0.02119497095092815,-4.791264001759784,0.7136566550232726

Average,0.24821918202629778,0.21808154818912348,0.008233651557626823,0.7697642540674084,1895.093507676328,0.6580164094255284,0.8048416959447513,0.349295538618927,0.21912440722942209,0.02218813017109222,-4.963293890470173,0.7378198934007157
